0,1
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\h02-035-s00-02.png,"circumstances , if any , in which the supply of morphine"
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\l04-012-s00-00.png,"' Aw , forget it ' , she said cheerfully ."
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\g06-045o-s00-06.png,he himself was being treated under
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\b04-107-s03-00.png,Then Mr. Iain Macleod became Colonial
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\g06-050j-s02-04.png,"irritated , patient and persevering , ' but"
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\d06-046-s01-05.png,veritable surge of energy .
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\n01-004-s01-00.png,Alastair was
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\g06-089-s00-01.png,public employment was again in the air .
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\r06-027-s01-01.png,"immolated on a nearby roof top , the other pair copulating ."
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\d06-046-s00-01.png,to different situations .
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\g06-031p-s04-02.png,"at the return of Ultratoryism , that the Commons"
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\p03-173-s01-01.png,"me at the gate , four o'clock tomorrow ? """
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\l01-129-s00-03.png,ever heard .
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\g06-050h-s01-02.png,symptoms .
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\h07-017-s00-00.png,The following table indicates the size of the
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\a01-068u-s02-03.png,sum towards the cost of keeping American
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\b05-032-s00-01.png,"been in Britain many times before , were"
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\d06-030-s04-00.png,Many people wake up tired of a morning and no
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\l07-111-s05-02.png,drove like a fiend along
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\m01-131-s00-00.png,"When he finally beckoned to them to enter , the action"
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\a05-009-s02-02.png,"of Staff , a process that may take four"
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\e04-004-s01-01.png,"been machine planed , remember to go over each piece with"
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\l04-102-s00-01.png,"Henry Mansell's face he saw , hovering"
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\p02-069-s00-01.png,to the bar .
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\h07-040-s02-02.png,been very high in some cases with ...
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\g06-011b-s03-00.png,Vesuvius seems to be tired ; he
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\a02-027-s01-00.png,"Root of the discontent : The austerity Budget ,"
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\e04-095-s00-02.png,to see that nothing is distorted .
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\g06-105-s00-02.png,from his native Germany by the antipathy of his
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\c03-007b-s01-02.png,the rubbish strewn canals - even the worn
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\f02-044-s02-01.png,ded a course on six full Fridays and it was made clear both
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\h07-020-s01-04.png,group of firms employing between five
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\a05-069-s02-03.png,interference with the United Nations
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\b06-075-s02-02.png,"troops being trained on British soil and Polaris ,"
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\b02-105-s01-02.png,the campaign has dismayed a good
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\a02-093-s03-00.png,A statement is expected today
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\r02-127-s01-00.png,He started to
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\h07-078a-s00-08.png,their full programme .
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\g01-039-s02-01.png,"nal funds , they were usually granted an"
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\n06-100-s04-01.png,fascinated by the way he looked when you
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\g06-047n-s00-00.png,"This remarkable man of medicine , whom Sir"
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\c03-003f-s02-04.png,a city .
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\c06-027-s01-02.png,not with that great little Irish bar on
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\p02-022-s03-04.png,kisses she had seen him giving Elaine .
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\m04-100-s02-01.png,"expect me to do ? "" he inquired , bitter ."
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\l01-007-s02-00.png,The Caxtons
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\r02-127-s00-00.png,Cecil wriggled irritably under the misplaced management
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\h07-071a-s01-01.png,local employment can be provided only by the
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\h07-066b-s01-03.png,"school-leaving age , expressed as a percentage of the"
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\c03-087b-s00-00.png,"It went , perhaps , some distance beyond most"
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\g01-031-s01-05.png,"and coupled with the vain hope that , in the"
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\h02-008-s01-00.png,Appendix
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\g06-018a-s01-02.png,this place agree with me better than Naples .
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\g06-031o-s04-06.png,"be a mass of Radicalism , & then"
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\g04-048-s00-00.png,I suggested to the congregation that it needed
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\n01-057-s02-03.png,across Italy via Foggia to Barletta .
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\f04-004-s00-00.png,When he learned what was causing the commotion he
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\c06-103-s00-00.png,THE Marriage-Go-Round ( Carlton )
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\e07-076-s01-02.png,they are not quite so fragile as the
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\n06-128-s01-02.png,opened out into a wide shallow draw .
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\l01-030-s04-01.png,to fade .
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\p02-076-s01-00.png,"She looked round scanning the tables ,"
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\h07-033a-s00-04.png,the individual shopkeeper .
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\b05-067-s01-02.png,"of the triangle that led to Hitler , Himmler , Hess and Goering"
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\e07-061-s02-01.png,"and Spanish mantis , in the young stage"
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\a03-066-s00-06.png,rise in taxation - something no one is prepared
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\r02-070-s02-01.png,glowered at his own breach of social morality .
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\f01-081-s01-00.png,For example the success of the atomic theory
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\b05-045-s02-04.png,"each . """
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\a05-099-s03-01.png,and control would be much easier to
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\a05-113-s00-01.png,Government had asked the Medical Research
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\p02-127-s01-00.png,""" I know that you 're right Doc , I think"
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\a04-096-s01-04.png,Britain alone .
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\b01-122-s03-00.png,"Otherwise , he says , those inside the"
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\a06-051-s03-00.png,He returned five
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\a04-099-s02-05.png,America an onerous obligation which it
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\k03-180-s04-01.png,quite that .
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\l01-129-s02-03.png,mother's bedside .
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\n04-149-s03-00.png,' The Honourable
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\a01-030x-s04-00.png,He
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\a03-030-s00-03.png,else in sight to supplant him .
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\a01-102u-s03-02.png,fiddling about with bills of cost .
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\c04-013-s00-02.png,a magazine editress ( Martha Hyer ) to get ahead .
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\a03-027-s01-02.png,"160 speeches in 80 constituencies in 10 days , the Liberal"
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\d06-011-s00-01.png,"all the elements of fear can arise suddenly ,"
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\g06-050j-s02-03.png,"even-tempered and sedate , not easily"
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\p02-022-s00-01.png,beach .
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\d07-082-s00-01.png,"texts and the Gemara explains why these ,"
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\a01-026-s02-03.png,Mr. Macmillan .
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\h07-060a-s00-03.png,"the needs of particular organisations , and have also"
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\a01-091-s01-04.png,placing heavy burdens on those least
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\h01-007-s01-01.png,statistical use to be made of their experience
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\c04-170-s01-01.png,to make the strongest criticisms .
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\l07-187-s00-01.png,it stood a long way back from the water
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\l04-098-s00-00.png,It would be safer under lock and key
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\h07-066b-s01-05.png,national average .
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\b03-104-s03-02.png,any reason why the centigrade countries
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\g07-042-s00-08.png,"a drunkard and perhaps a suicide , hiding"
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\a02-000-s02-00.png,General
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\f04-100-s01-01.png,"signalman at Purley Oaks , who had"
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\a01-003-s02-02.png,and that Labour should not take any steps
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\b01-089-s03-01.png,re-established in their port by negotiation
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\b05-017-s02-01.png,first .
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\m01-125-s04-01.png,"preoccupied , and it seemed that the"
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\g06-018j-s02-02.png,temperature is high & I have not yet
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\a01-063x-s00-00.png,"But he said discussions "" on a higher"
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\a04-035-s00-01.png,"meeting , peace-loving people will say ' a"
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\a02-082-s01-01.png,three weeks of the present trouble 287 incidents
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\r03-050-s01-02.png,with the finger-nail of the opposite hand .
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\e07-003-s01-04.png,pest control by biological means .
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\k04-115-s01-00.png,Whilst she automatically patted the hand of
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\g06-042j-s01-04.png,brought to his notice .
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\e06-041-s03-03.png,being gathered inwards by the ropes .
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\l01-133-s03-04.png,for nearly as long .
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\g06-047b-s00-03.png,"a human being ' , had an increasing number"
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\b06-056-s01-05.png,with the Gaitskellites on their policy
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\b06-032-s01-02.png,by Right-Wing Labour in this country .
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\c04-050-s01-00.png,"But the Mudlarks , with Jeff Mudd"
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\g06-047f-s00-03.png,unorthodox medical men in the cities of Europe .
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\g06-031o-s04-02.png,exasperation of the People will be so
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\a01-020u-s00-00.png,Mr. Macleod went on with the conference
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\f07-042a-s01-00.png,The visitor is told that
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\r02-038-s04-00.png,He wondered what it contained .
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\a03-071-s00-06.png,"satellite , duplicating to some extent American"
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\d06-046-s02-03.png,her boy friend calls and go for a long walk .
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\h02-017-s00-02.png,of a number of drugs on sale to the public which
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\c04-004-s00-02.png,Hollywood .
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\g06-011h-s05-03.png,particularly as the troops are very fine . '
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\k02-023-s02-01.png,"East , my boy , and you 'll drink - I 've seen your kind be-"
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\l04-163-s01-03.png,the point .
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\g04-077-s02-03.png,well in Limpsfield where she had a house next to the
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\d06-067-s00-02.png,that it taxes the mind .
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\a06-070-s02-01.png,Government could join the European Economic
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\h07-071-s02-00.png,Schemes for training young people in
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\h04-025-s01-00.png,"As with the price of energy index ,"
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\g04-026-s03-01.png,teach by singing the parts with them .
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\p06-104-s00-01.png,miraculous recovery and Sandra would
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\e02-086-s00-01.png,with what we have called a bare minimum kit .
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\b06-100-s00-01.png,"opening a few technical college extensions ,"
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\n06-156-s05-01.png,found us a couple of boxes to sit on .
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\k03-164-s04-02.png,- extravagant - nineteenth centuryish -
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\n04-218-s03-01.png,"written letters to the bereaved , had visited many in the"
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\c03-016b-s01-02.png,promiscuous mother .
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\f07-013-s00-03.png,tation affords an opportunity of
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\h02-008-s02-00.png,The
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\b01-062-s03-01.png,contains statements whose factual truth is
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\l01-157-s02-00.png,""" You know Fred 's getting spliced . """
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\d04-050-s01-02.png,selfish and think only of one's personal advantage to
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\g07-077a-s00-02.png,"to be aware that Augusta , so far from"
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\j06-051-s02-01.png,primary dependence of diurnal
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\d06-011-s01-03.png,"happens is not merely dishonest , it"
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\c04-122-s04-01.png,"with the Corporation , during which he started "" Juke Box Jury "" and"
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\e07-000-s00-00.png,WE have not yet reached the stage in Britain
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\h07-033a-s02-05.png,"early stages , may be slow to break if carried"
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\b01-027-s04-00.png,It
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\a01-030x-s04-01.png,said Britain had an obligation to consult
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\a01-077u-s02-02.png,he did not know whether America was
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\g06-047f-s00-00.png,"This remarkable man of medicine , whom Sir Francis Burdett described"
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\a06-124-s00-01.png,difficult to arrange a loan or overdraft .
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\p01-147-s00-02.png,outbuilding where the grave digger kept his spades
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\e07-076-s00-03.png,"10 per cent. , and where the handling and"
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\h07-071a-s02-01.png,young people in industry and commerce will
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\g06-011p-s00-00.png,By the end of the month he still delighted in Naples .
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\d04-066-s03-02.png,to the children any more diligently and the
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\h07-071a-s01-00.png,For the most part therefore
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\m02-069-s00-03.png,Board presided had it in their power permanently to warp the
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\f07-024b-s00-01.png,known any way of cooking meat
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\c03-087f-s00-03.png,which left its central character and the
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\m04-209-s03-01.png,"seemed , for a time , that the whole affair would"
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\b01-079-s03-01.png,Mr. Hammarskjold to use force if necessary to
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\m04-180-s08-00.png,But his commanding officer appeared to
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\r06-115-s00-02.png,might borrow the stories of Isaac Babel
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\k04-057-s00-04.png,debts .
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\j04-019-s03-03.png,Centre which we concluded was radiochemi-
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\c02-082-s00-01.png,in Moderato Cantabile ( curiously trans-
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\a06-128-s03-01.png,German militarism in his replies to
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\m04-019-s02-00.png,""" For me it is , "" Dai"
C:\Users\priya\OneDrive\Desktop\Khudka Model\Datasets\IAM_Sentences\g04-095-s00-02.png,lasting friendship begun in 1913 in Purley and
